[2024-12-04 00:55:04,462] 94	T_sample 1.30	T_update 0.30	ETA 369 days, 22:18:10	expert_R_avg 0.4344 [0.0000,0.1342,0.0000,0.1342,0.7346]	expert_R_range (0.3528, 0.5271)	eps_len 16.00
[2024-12-04 00:55:06,104] 95	T_sample 1.32	T_update 0.30	ETA 375 days, 21:46:46	expert_R_avg 0.4297 [0.0000,0.1256,0.0000,0.1256,0.7339]	expert_R_range (0.3522, 0.5299)	eps_len 16.34
[2024-12-04 00:55:07,720] 96	T_sample 1.29	T_update 0.30	ETA 369 days, 22:15:58	expert_R_avg 0.4231 [0.0000,0.1122,0.0000,0.1122,0.7340]	expert_R_range (0.3545, 0.5288)	eps_len 16.77
[2024-12-04 00:55:09,361] 97	T_sample 1.33	T_update 0.30	ETA 375 days, 18:04:16	expert_R_avg 0.4333 [0.0000,0.1328,0.0000,0.1328,0.7338]	expert_R_range (0.3445, 0.5275)	eps_len 14.08
[2024-12-04 00:55:11,076] 98	T_sample 1.40	T_update 0.30	ETA 392 days, 9:30:35	expert_R_avg 0.4417 [0.0000,0.1498,0.0000,0.1498,0.7335]	expert_R_range (0.3441, 0.5281)	eps_len 15.80
[2024-12-04 00:55:12,698] 99	T_sample 1.31	T_update 0.30	ETA 371 days, 5:08:23	expert_R_avg 0.4298 [0.0000,0.1257,0.0000,0.1257,0.7338]	expert_R_range (0.3518, 0.5248)	eps_len 15.43
[2024-12-04 00:55:14,331] 100	T_sample 1.30	T_update 0.30	ETA 370 days, 6:10:43	expert_R_avg 0.4404 [0.0000,0.1469,0.0000,0.1469,0.7338]	expert_R_range (0.3507, 0.5280)	eps_len 16.07
[2024-12-04 00:55:15,982] 101	T_sample 1.33	T_update 0.30	ETA 377 days, 19:49:37	expert_R_avg 0.4288 [0.0000,0.1238,0.0000,0.1238,0.7339]	expert_R_range (0.3505, 0.5284)	eps_len 16.45
[2024-12-04 00:55:17,642] 102	T_sample 1.34	T_update 0.30	ETA 379 days, 9:02:27	expert_R_avg 0.4307 [0.0000,0.1279,0.0000,0.1279,0.7336]	expert_R_range (0.3485, 0.5280)	eps_len 15.28
[2024-12-04 00:55:19,244] 103	T_sample 1.28	T_update 0.30	ETA 366 days, 7:32:00	expert_R_avg 0.4305 [0.0000,0.1279,0.0000,0.1279,0.7331]	expert_R_range (0.3516, 0.5260)	eps_len 16.21
[2024-12-04 00:55:20,888] 104	T_sample 1.33	T_update 0.30	ETA 376 days, 23:41:38	expert_R_avg 0.4384 [0.0000,0.1439,0.0000,0.1439,0.7329]	expert_R_range (0.3536, 0.5273)	eps_len 16.88
[2024-12-04 00:55:22,605] 105	T_sample 1.38	T_update 0.32	ETA 393 days, 0:32:53	expert_R_avg 0.4455 [0.0000,0.1578,0.0000,0.1578,0.7331]	expert_R_range (0.3492, 0.5276)	eps_len 16.67
[2024-12-04 00:55:24,325] 106	T_sample 1.40	T_update 0.30	ETA 394 days, 3:02:42	expert_R_avg 0.4285 [0.0000,0.1241,0.0000,0.1241,0.7330]	expert_R_range (0.3507, 0.5279)	eps_len 16.50
[2024-12-04 00:55:25,948] 107	T_sample 1.30	T_update 0.31	ETA 371 days, 8:08:54	expert_R_avg 0.4296 [0.0000,0.1266,0.0000,0.1266,0.7325]	expert_R_range (0.3517, 0.5257)	eps_len 16.33
[2024-12-04 00:55:27,579] 108	T_sample 1.32	T_update 0.29	ETA 373 days, 1:30:10	expert_R_avg 0.4307 [0.0000,0.1288,0.0000,0.1288,0.7326]	expert_R_range (0.3504, 0.5301)	eps_len 16.40
[2024-12-04 00:55:29,192] 109	T_sample 1.30	T_update 0.29	ETA 369 days, 9:42:28	expert_R_avg 0.4313 [0.0000,0.1299,0.0000,0.1299,0.7328]	expert_R_range (0.3541, 0.5282)	eps_len 17.13
[2024-12-04 00:55:30,842] 110	T_sample 1.33	T_update 0.30	ETA 377 days, 15:27:59	expert_R_avg 0.4307 [0.0000,0.1297,0.0000,0.1297,0.7318]	expert_R_range (0.3497, 0.5297)	eps_len 17.06
[2024-12-04 00:55:32,435] 111	T_sample 1.28	T_update 0.30	ETA 364 days, 22:53:36	expert_R_avg 0.4245 [0.0000,0.1170,0.0000,0.1170,0.7320]	expert_R_range (0.3413, 0.5307)	eps_len 15.10
[2024-12-04 00:55:34,094] 112	T_sample 1.34	T_update 0.30	ETA 379 days, 11:21:58	expert_R_avg 0.4300 [0.0000,0.1277,0.0000,0.1277,0.7322]	expert_R_range (0.3504, 0.5285)	eps_len 15.11
[2024-12-04 00:55:35,728] 113	T_sample 1.31	T_update 0.31	ETA 374 days, 7:20:47	expert_R_avg 0.4332 [0.0000,0.1348,0.0000,0.1348,0.7316]	expert_R_range (0.3459, 0.5289)	eps_len 16.27
[2024-12-04 00:55:37,355] 114	T_sample 1.32	T_update 0.29	ETA 372 days, 21:58:17	expert_R_avg 0.4332 [0.0000,0.1345,0.0000,0.1345,0.7318]	expert_R_range (0.3493, 0.5269)	eps_len 16.00
[2024-12-04 00:55:38,985] 115	T_sample 1.31	T_update 0.30	ETA 372 days, 19:03:54	expert_R_avg 0.4335 [0.0000,0.1349,0.0000,0.1349,0.7321]	expert_R_range (0.3496, 0.5293)	eps_len 15.25
[2024-12-04 00:55:40,592] 116	T_sample 1.29	T_update 0.30	ETA 368 days, 3:39:12	expert_R_avg 0.4329 [0.0000,0.1343,0.0000,0.1344,0.7314]	expert_R_range (0.3535, 0.5290)	eps_len 16.00
